,charts/0/avg_episode_returns,charts/0/avg_episode_lengths,charts/0/avg_episode_success,stats/0/avg_params_queue_get_time,stats/0/avg_rollout_time,stats/0/avg_create_rollout_time,stats/0/avg_rollout_queue_put_time,stats/0/avg_env_recv_time,stats/0/avg_inference_time,stats/0/avg_storage_time,stats/0/avg_device2host_time,stats/0/avg_env_send_time,stats/0/avg_update_time,charts/0/instant_avg_episode_length,charts/0/instant_avg_episode_return,charts/0/returned_avg_episode_length,charts/0/returned_avg_episode_return,charts/0/returned_avg_episode_success,stats/0/inner_time_efficiency,stats/0/middle_time_efficiency,charts/0/SPS,policy_versions/actor_0,stats/rollout_queue_get_time,stats/rollout_params_queue_get_time_diff,stats/training_time,stats/rollout_queue_size,stats/params_queue_size,losses/value_loss,losses/policy_loss,losses/entropy,losses/loss,actor_ma,adv_multiplier,critic_bias,critic_diff,critic_ma,grad_rms/avg,grad_rms/total,param_rms/avg,param_rms/total,proportion_of_boxes,var_explained,policy_versions/learner,losses/learning_rate,rho100/00_episode_returns,rho100/00_episode_lengths,rho100/00_episode_successes,rho100/00_episode_num_cycles,rho100/00_cycles_steps_per_eps_incl_noops,rho100/00_cycles_steps_per_eps_excl_noops,rho100/00_episode_num_noops_per_eps,rho100/00_episode_num_cycles_in_solved,rho100/00_cycles_steps_per_eps_incl_noops_in_solved,rho100/00_cycles_steps_per_eps_excl_noops_in_solved,rho100/00_episode_num_noops_per_eps_in_solved,rho100/00_episode_zero_boxes,rho100/00_episode_one_box,rho100/00_episode_two_boxes,rho100/00_episode_three_boxes,rho050/00_episode_returns,rho050/00_episode_lengths,rho050/00_episode_successes,rho050/00_episode_num_cycles,rho050/00_cycles_steps_per_eps_incl_noops,rho050/00_cycles_steps_per_eps_excl_noops,rho050/00_episode_num_noops_per_eps,rho050/00_episode_num_cycles_in_solved,rho050/00_cycles_steps_per_eps_incl_noops_in_solved,rho050/00_cycles_steps_per_eps_excl_noops_in_solved,rho050/00_episode_num_noops_per_eps_in_solved,rho050/00_episode_zero_boxes,rho050/00_episode_one_box,rho050/00_episode_two_boxes,rho050/00_episode_three_boxes,rho000/00_episode_returns,rho000/00_episode_lengths,rho000/00_episode_successes,rho000/00_episode_num_cycles,rho000/00_cycles_steps_per_eps_incl_noops,rho000/00_cycles_steps_per_eps_excl_noops,rho000/00_episode_num_noops_per_eps,rho000/00_episode_num_cycles_in_solved,rho000/00_cycles_steps_per_eps_incl_noops_in_solved,rho000/00_cycles_steps_per_eps_excl_noops_in_solved,rho000/00_episode_num_noops_per_eps_in_solved,rho000/00_episode_zero_boxes,rho000/00_episode_one_box,rho000/00_episode_two_boxes,rho000/00_episode_three_boxes
563200,-3.706587791442871,81.07479858398438,0.46504065040650405,0.2795151710510254,0.8948398351669311,6.595492362976074e-05,1.2564659118652344e-05,0.0039584171772003175,0.009046372175216675,0.02588486671447754,0.02542830467224121,0.0062065660953521725,1.2002761602401733,59.91797,-2.9958982,78.99219,-3.584377,0.48828125,0.9991869670241126,0.9999802356745835,3931.1860725573283,108.0,0.00019268989562988282,-0.27932248115539554,1.1969006061553955,1.0,1.0,0.40831565856933594,-0.037992484867572784,-1.2703815698623657,0.05218870937824249,0.3478313684463501,1.0,-0.0181585680693388,-4.713244438171387,4.731402397155762,0.0003487782087177038,0.4199690818786621,0.033150605857372284,39.917137145996094,0.0042968750931322575,0.006554797291755676,110.0,0.0003985266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614400,-3.9600186347961426,85.35541534423828,0.42164781906300486,0.31042654514312745,0.8597099304199218,5.7424306869506833e-05,1.1539459228515625e-05,0.003286135196685791,0.00928297996520996,0.0161801815032959,0.024873907566070556,0.005452539920806885,1.1863489627838135,53.53125,-2.676562,88.82422,-4.138479,0.40625,0.9992437085067166,0.9999824956577776,3959.7216468733423,118.0,0.00021584033966064452,-0.3102107048034668,1.1993508338928223,1.0,1.0,0.8770558834075928,0.11805853992700577,-1.3316941261291504,0.32444140315055847,0.2908909320831299,1.0,-0.020747555419802666,-6.206081390380859,6.226828575134277,0.000790503341704607,0.9518568515777588,0.033170174807310104,39.940704345703125,0.0042968750931322575,-0.15327073633670807,120.0,0.00039839145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665600,-3.946065664291382,85.4204330444336,0.4304857621440536,0.33446683883666994,0.8437047719955444,5.4084062576293945e-05,1.0561943054199218e-05,0.0030501675605773926,0.008995413780212402,0.02087368965148926,0.024873894453048707,0.005176596641540528,1.1990756034851073,54.328125,-2.7164059,79.17578,-3.6072288,0.47265625,0.9991683796752998,0.9999835364356574,3981.3508219884557,128.0,0.000217437744140625,-0.3342494010925293,1.1998882293701172,1.0,1.0,0.5966696739196777,0.011482685804367065,-1.2718441486358643,0.14922384917736053,0.49955594539642334,1.0,-0.019598836079239845,-4.882200717926025,4.901799201965332,0.00040608568815514445,0.4889738857746124,0.03318145498633385,39.954288482666016,0.005078124813735485,-0.026445716619491577,130.0,0.00039825626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716800,-3.961791515350342,85.55685424804688,0.4297658862876254,0.305445122718811,0.8643284559249877,6.011247634887695e-05,1.239776611328125e-05,0.003459470272064209,0.008923758268356324,0.019257497787475587,0.025239545106887817,0.005500346422195435,1.189065647125244,54.472656,-2.7236323,85.34766,-3.937307,0.44921875,0.9992319991278962,0.9999813526461637,4002.195750832223,138.0,0.00040194988250732424,-0.3050431728363037,1.2028875350952148,1.0,1.0,0.4723415970802307,-0.11868958920240402,-1.3739492893218994,-0.01429603062570095,0.08921423554420471,1.0,-0.020147699862718582,-4.7294206619262695,4.749567985534668,0.00043014282709918916,0.517941415309906,0.03319363296031952,39.96894836425781,0.0042968750931322575,-0.024769768118858337,140.0,0.0003981211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768000,-3.926969528198242,84.8672103881836,0.43278688524590164,0.267953896522522,0.9249743461608887,7.202982902526856e-05,1.4376640319824218e-05,0.0042492043972015385,0.00923989772796631,0.025686812400817872,0.025979554653167723,0.006668717861175537,1.2186572790145873,52.25,-2.6124997,83.72266,-3.8580103,0.45703125,0.9991499690846297,0.9999771492030461,4013.9991862332718,148.0,0.00013952255249023439,-0.26781437397003177,1.2063255310058594,1.0,1.0,0.7785153388977051,0.030057506635785103,-1.3332469463348389,0.21174044907093048,0.29213374853134155,1.0,-0.021956272423267365,-5.282779693603516,5.304736137390137,0.0005207203794270754,0.627007246017456,0.03321857005357742,39.99898147583008,0.006640625186264515,0.015349388122558594,150.0,0.00039798592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819200,-3.9121646881103516,84.59459686279297,0.43243243243243246,0.28271400928497314,0.8770570516586303,6.15370273590088e-05,1.2660026550292969e-05,0.003917385339736939,0.009245259761810303,0.023686146736145018,0.02482499599456787,0.005763239860534668,1.183493733406067,56.625,-2.8312497,82.89453,-3.8380883,0.4375,0.9990779482624018,0.9999798345364286,4030.869550047194,158.0,0.00010983943939208984,-0.28260416984558107,1.200822114944458,1.0,1.0,0.8965930938720703,0.06079069525003433,-1.3050403594970703,0.2727224826812744,0.3464391231536865,1.0,-0.02371084690093994,-5.741860866546631,5.765571594238281,0.0005374208558350801,0.6471165418624878,0.033241935074329376,40.02711486816406,0.006054687313735485,0.007216334342956543,160.0,0.00039785076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870400,-3.9005706310272217,84.42369842529297,0.44155844155844154,0.3053963422775269,0.8821383237838745,6.394743919372558e-05,1.0919570922851562e-05,0.0037206971645355226,0.009245972633361816,0.01418442726135254,0.02516890525817871,0.005870828628540039,1.2017531871795655,53.48047,-2.6740232,80.24609,-3.6470723,0.5,0.9991709902087222,0.9999807162684186,4043.3341126121054,168.0,0.00019309520721435546,-0.30520324707031254,1.1993515491485596,1.0,1.0,0.5879089832305908,0.029090983793139458,-1.336236596107483,0.16312119364738464,0.2614688277244568,1.0,-0.022525787353515625,-4.7007246017456055,4.723250389099121,0.00030648079700767994,0.3690381348133087,0.03325488790869713,40.04270935058594,0.006640625186264515,0.009737156331539154,170.0,0.00039771557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921600,-3.8698058128356934,84.0409164428711,0.4353518821603928,0.3110535144805908,0.8628107309341431,5.8405399322509765e-05,1.2350082397460937e-05,0.0033686280250549315,0.00872655987739563,0.02148449420928955,0.025286732912063598,0.005665018558502198,1.1953857421875,52.898438,-2.6449215,86.15625,-4.0128927,0.40234375,0.9991842527426569,0.9999793769657701,4055.318599338921,178.0,0.000259089469909668,-0.31079442501068116,1.199345350265503,1.0,1.0,0.2413366138935089,-0.027602048590779305,-1.3383914232254028,0.019690006971359253,0.2750759720802307,1.0,-0.023141495883464813,-4.55117654800415,4.574317932128906,0.0002562604786362499,0.3085671067237854,0.03327290713787079,40.06440734863281,0.004101562313735485,0.14525417983531952,180.0,0.0003975804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972800,-3.6884944438934326,80.73809814453125,0.4714285714285714,0.2980825424194336,0.8770504474639893,6.150603294372559e-05,1.2636184692382812e-05,0.0035507285594940183,0.009155460596084596,0.020221376419067384,0.025332342386245727,0.005717329978942871,1.1953908681869507,54.20703,-2.7103512,81.89453,-3.7880883,0.4375,0.9991983398539919,0.9999800352333256,4066.2664892485022,188.0,0.00015287399291992189,-0.2979296684265137,1.1986520290374756,1.0,1.0,0.7096502780914307,0.001133190467953682,-1.314497947692871,0.1658584177494049,0.24518100917339325,1.0,-0.025402981787919998,-6.067256927490234,6.092659950256348,0.0005652259569615126,0.6805970668792725,0.033299148082733154,40.09600067138672,0.004687500186264515,0.0750417560338974,190.0,0.00039744523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.393749999999988,109.125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.393749999999988,109.125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.393749999999988,109.125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
