script distance_field_bc.py
commit dc8ec33
argv   /workspace/data/offline/runs/bcnv11.s1

256 train / 512 test episodes; DRC reference: partial ~0.70, hard R2 ~0.25, MAE ~3.5

== distance-to-agent ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)    0.002     -0.022   -0.563    [-0.61,-0.52]   6.81  -0.003
  trained depth 1           0.066      0.079   -0.527    [-0.57,-0.48]   6.59   0.034
  trained depth 2 (l2 clipped)    0.081      0.095   -0.471    [-0.53,-0.42]   6.20   0.117
  trained depth 3           0.106      0.127   -0.467    [-0.52,-0.41]   6.13   0.127
  trained depth 4           0.111      0.115   -0.475    [-0.54,-0.43]   6.15   0.121
  trained all               0.197      0.222   -0.379    [-0.44,-0.32]   5.64   0.225
  untrained all (l2 clipped)   -0.011     -0.020   -0.562    [-0.61,-0.52]   6.81  -0.005
  observation (l2 clipped)    0.009      0.012   -0.561    [-0.61,-0.52]   6.79  -0.000

== d->rich (colour0) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)   -0.028     -0.038   -0.540    [-0.59,-0.49]   6.88  -0.001
  trained depth 1           0.026      0.011   -0.548    [-0.60,-0.49]   6.75   0.019
  trained depth 2           0.223      0.232   -0.244    [-0.31,-0.18]   5.31   0.315
  trained depth 3           0.370      0.411   -0.125    [-0.18,-0.08]   4.96   0.387
  trained depth 4           0.372      0.409   -0.117    [-0.18,-0.07]   5.01   0.377
  trained all               0.412      0.456   -0.084    [-0.14,-0.03]   4.84   0.408
  untrained all (l2 clipped)   -0.000     -0.004   -0.543    [-0.59,-0.49]   6.88  -0.002
  observation (l2 clipped)   -0.013     -0.000   -0.543    [-0.60,-0.50]   6.89  -0.003

== d->poor (colour1) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)    0.030      0.013   -0.683    [-0.76,-0.63]   6.91   0.003
  trained depth 1           0.037      0.056   -0.692    [-0.77,-0.63]   6.78   0.018
  trained depth 2           0.135      0.142   -0.522    [-0.61,-0.45]   6.05   0.163
  trained depth 3           0.150      0.180   -0.516    [-0.60,-0.44]   6.03   0.168
  trained depth 4           0.157      0.174   -0.523    [-0.61,-0.45]   6.02   0.169
  trained all               0.178      0.197   -0.457    [-0.55,-0.38]   5.76   0.215
  untrained all (l2 clipped)    0.006     -0.001   -0.686    [-0.76,-0.63]   6.92  -0.001
  observation (l2 clipped)    0.012      0.008   -0.689    [-0.76,-0.63]   6.93  -0.000
