script distance_field_bc.py
commit dc8ec33
argv   /workspace/data/offline/runs/scaling/sc11.d512l4.s1 --probe-demos /workspace/data/offline/demos/scaling/train.rho100 --eval-demos /workspace/data/offline/demos/scaling/test.rho100

256 train / 512 test episodes; DRC reference: partial ~0.70, hard R2 ~0.25, MAE ~3.5

== distance-to-agent ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0          -0.024     -0.048   -0.561    [-0.61,-0.52]   7.05   0.001
  trained depth 1 (l2 clipped)   -0.004     -0.019   -0.558    [-0.61,-0.52]   7.04   0.002
  trained depth 2           0.293      0.315   -0.248    [-0.31,-0.20]   5.39   0.328
  trained depth 3           0.372      0.415   -0.184    [-0.24,-0.13]   5.20   0.365
  trained depth 4           0.386      0.439   -0.151    [-0.21,-0.09]   5.26   0.360
  trained all               0.407      0.462   -0.124    [-0.18,-0.07]   5.12   0.386
  untrained all (l2 clipped)   -0.026     -0.043   -0.558    [-0.61,-0.52]   7.06  -0.003
  observation (l2 clipped)    0.012      0.012   -0.564    [-0.61,-0.53]   7.06   0.000

== d->rich (colour0) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)   -0.062     -0.091   -0.580    [-0.63,-0.52]   7.03  -0.004
  trained depth 1 (l2 clipped)   -0.064     -0.095   -0.580    [-0.63,-0.52]   7.04  -0.006
  trained depth 2           0.382      0.428   -0.147    [-0.20,-0.09]   4.92   0.411
  trained depth 3           0.608      0.656    0.114    [+0.07,+0.16]   4.14   0.565
  trained depth 4           0.829      0.849    0.545    [+0.51,+0.58]   2.83   0.781
  trained all               0.839      0.860    0.566    [+0.53,+0.60]   2.76   0.792
  untrained all (l2 clipped)   -0.051     -0.083   -0.580    [-0.63,-0.52]   7.08  -0.022
  observation (l2 clipped)   -0.000     -0.013   -0.582    [-0.63,-0.53]   7.03  -0.002

== d->poor (colour1) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0           0.038      0.047   -0.559    [-0.61,-0.50]   7.01  -0.002
  trained depth 1 (l2 clipped)    0.045      0.060   -0.563    [-0.61,-0.51]   7.01  -0.002
  trained depth 2           0.203      0.255   -0.233    [-0.29,-0.17]   5.82   0.259
  trained depth 3           0.442      0.518   -0.025    [-0.09,+0.04]   4.78   0.451
  trained depth 4           0.614      0.690    0.188    [+0.15,+0.23]   4.15   0.578
  trained all               0.612      0.694    0.179    [+0.13,+0.22]   4.17   0.575
  untrained all (l2 clipped)    0.006      0.040   -0.581    [-0.63,-0.52]   7.05  -0.017
  observation               0.005     -0.001   -0.559    [-0.61,-0.50]   7.01  -0.002
