script distance_field_bc.py
commit dc8ec33
argv   /workspace/data/offline/runs/scaling/sc11.d128l4.s1 --probe-demos /workspace/data/offline/demos/scaling/train.rho100 --eval-demos /workspace/data/offline/demos/scaling/test.rho100

256 train / 512 test episodes; DRC reference: partial ~0.70, hard R2 ~0.25, MAE ~3.5

== distance-to-agent ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0          -0.021     -0.044   -0.561    [-0.61,-0.52]   7.05   0.001
  trained depth 1          -0.013      0.010   -0.586    [-0.64,-0.54]   6.99  -0.001
  trained depth 2           0.136      0.150   -0.452    [-0.52,-0.40]   6.05   0.191
  trained depth 3           0.122      0.143   -0.449    [-0.51,-0.40]   6.18   0.164
  trained depth 4           0.109      0.110   -0.490    [-0.55,-0.43]   6.31   0.139
  trained all               0.212      0.226   -0.399    [-0.47,-0.34]   5.76   0.242
  untrained all (l2 clipped)   -0.022     -0.029   -0.563    [-0.62,-0.52]   7.06  -0.002
  observation (l2 clipped)    0.012      0.012   -0.564    [-0.61,-0.53]   7.06   0.000

== d->rich (colour0) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)   -0.047     -0.074   -0.580    [-0.63,-0.52]   7.03  -0.004
  trained depth 1 (l2 clipped)   -0.044     -0.079   -0.579    [-0.63,-0.52]   7.03  -0.004
  trained depth 2           0.216      0.246   -0.269    [-0.32,-0.21]   5.44   0.315
  trained depth 3           0.364      0.403   -0.139    [-0.20,-0.09]   5.11   0.382
  trained depth 4           0.351      0.383   -0.156    [-0.21,-0.10]   5.14   0.370
  trained all               0.416      0.441   -0.095    [-0.14,-0.03]   4.92   0.413
  untrained all (l2 clipped)   -0.063     -0.085   -0.584    [-0.63,-0.53]   7.04  -0.009
  observation (l2 clipped)   -0.000     -0.013   -0.582    [-0.63,-0.53]   7.03  -0.002

== d->poor (colour1) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)    0.051      0.069   -0.559    [-0.61,-0.50]   7.01  -0.002
  trained depth 1 (l2 clipped)    0.070      0.109   -0.563    [-0.61,-0.51]   7.01  -0.002
  trained depth 2           0.137      0.164   -0.403    [-0.47,-0.34]   6.23   0.154
  trained depth 3           0.140      0.152   -0.340    [-0.40,-0.27]   5.98   0.202
  trained depth 4           0.130      0.145   -0.392    [-0.47,-0.32]   6.00   0.189
  trained all               0.168      0.201   -0.321    [-0.39,-0.25]   5.84   0.231
  untrained all (l2 clipped)    0.027      0.070   -0.570    [-0.62,-0.51]   7.04  -0.009
  observation               0.005     -0.001   -0.559    [-0.61,-0.50]   7.01  -0.002
