step,chose_optimal_rho1,chose_optimal_rho0,followed_f0_rho1,followed_f0_rho0,reached_rho1,reached_rho0,legal_rho0,auc_rho1,auc_rho0_own,auc_rho0_optimal,auc_rho0_colour0
0,0.875,0.9166666666666666,0.6875,0.25,0.015625,0.01171875,0.8515625,0.9567688263338014,0.9666931834102478,0.575872267485696,0.5491053151289175
25,0.6947368421052632,0.6964285714285714,0.4425087108013937,0.5531914893617021,0.2802734375,0.275390625,0.0341796875,0.704042987482478,0.7098877909769291,0.6028376037340475,0.5459872481245781
35,0.7431506849315068,0.7474048442906575,0.49830508474576274,0.5051194539249146,0.2880859375,0.2861328125,0.0390625,0.679511465987637,0.6739944931148558,0.5922450131377548,0.5270534216155478
49,0.73,0.7238095238095238,0.43842364532019706,0.5586854460093896,0.1982421875,0.2080078125,0.072265625,0.7598146107516448,0.7444593097557939,0.5904179653122927,0.4950482757412668
69,0.8108108108108109,0.7911392405063291,0.54,0.49056603773584906,0.146484375,0.1552734375,0.06640625,0.6856239003538582,0.6946054046459479,0.5818246822100679,0.5421931364290671
96,0.7403314917127072,0.7471910112359551,0.5,0.49171270718232046,0.1796875,0.1767578125,0.0712890625,0.7033657750648398,0.703161492739473,0.5930282981816439,0.5356929505470057
134,0.7110266159695817,0.7045454545454546,0.5263157894736842,0.4794007490636704,0.259765625,0.2607421875,0.064453125,0.7045673118504301,0.7006613283089967,0.5737382885489716,0.5137722986578321
188,0.7346278317152104,0.7418300653594772,0.5047923322683706,0.4870967741935484,0.3056640625,0.302734375,0.068359375,0.6781267022899804,0.6715316865395071,0.5904668615265516,0.5102637747496344
264,0.6807228915662651,0.6765578635014837,0.4716417910447761,0.5352941176470588,0.3271484375,0.33203125,0.0791015625,0.6473998524179799,0.649620542502078,0.5720897256957841,0.5339362866358902
369,0.6988304093567251,0.6970588235294117,0.5087209302325582,0.5,0.3359375,0.333984375,0.056640625,0.6713613803536014,0.6708223114133517,0.5618478797403718,0.5193346428737629
517,0.7142857142857143,0.7250673854447439,0.4889502762430939,0.5066666666666667,0.353515625,0.3662109375,0.0869140625,0.65031461291943,0.6516946019936494,0.6023259862141832,0.5652877734047999
723,0.6861826697892272,0.6592039800995025,0.48036951501154734,0.5492610837438424,0.4228515625,0.396484375,0.1455078125,0.692963903134102,0.6781658094083476,0.62303788672532,0.5928965209466338
1012,0.7763496143958869,0.6869918699186992,0.6157760814249363,0.562753036437247,0.3837890625,0.2412109375,0.2109375,0.745639446337136,0.7567962771045919,0.6196347338532959,0.5812600032522824
1417,0.9072463768115943,0.6383763837638377,0.7478510028653295,0.6066176470588235,0.3408203125,0.265625,0.3388671875,0.7640473789638611,0.6850922988842892,0.599346981405412,0.6164568434663893
1984,0.9182561307901907,0.678714859437751,0.7777777777777778,0.5697211155378487,0.3603515625,0.2451171875,0.3193359375,0.7855502129484829,0.7506712266843409,0.6237385879939581,0.6334329606280357
2778,0.8921161825726142,0.6065573770491803,0.8,0.6331168831168831,0.4736328125,0.30078125,0.4384765625,0.7972456059941593,0.759330185924622,0.6279546552032822,0.6750470783575242
3889,0.8267008985879333,0.4791666666666667,0.7769328263624842,0.6672897196261682,0.7705078125,0.5224609375,0.6318359375,0.7683554367877515,0.7280276201991989,0.6924489588140214,0.6954088111234336
5445,0.84625,0.43787878787878787,0.7672413793103449,0.7350299401197605,0.79296875,0.65234375,0.69921875,0.7612612195513414,0.7043465053739424,0.6820554203325037,0.7038349416968235
7623,0.8476297968397292,0.43112947658402206,0.7817371937639198,0.7092391304347826,0.876953125,0.71875,0.7529296875,0.8009962615073624,0.7448254070113072,0.7234177169305565,0.723300335999473
10672,0.8504366812227074,0.3842239185750636,0.7989247311827957,0.7805800756620429,0.908203125,0.7744140625,0.845703125,0.795034915036033,0.7466699862703944,0.7035501724803123,0.7523394407747335
14941,0.9063157894736842,0.3853658536585366,0.8045738045738046,0.8115246098439376,0.939453125,0.8134765625,0.90625,0.8129387890425779,0.762019402199143,0.7144578895243426,0.7513766971868803
20917,0.9218274111675127,0.39155920281359907,0.7995991983967936,0.7736720554272517,0.974609375,0.845703125,0.9189453125,0.8073587941335563,0.7725947732316972,0.6931928038011231,0.7546686201276547
29284,0.9269269269269269,0.4024242424242424,0.807502467917078,0.7535885167464115,0.9892578125,0.81640625,0.9111328125,0.7924655075608251,0.7299657853230382,0.6795588371574034,0.7311197681781414
30000,0.9248496993987976,0.4012121212121212,0.8073122529644269,0.7523923444976076,0.98828125,0.81640625,0.91015625,0.7897816452162478,0.729666422428697,0.6780936843585069,0.7298032016158928
