step,chose_optimal_rho1,chose_optimal_rho0,followed_f0_rho1,followed_f0_rho0,reached_rho1,reached_rho0,legal_rho0,auc_rho1,auc_rho0_own,auc_rho0_optimal,auc_rho0_colour0
0,0.75,0.75,0.5,0.5,0.09765625,0.09765625,0.0703125,0.8208334131532827,0.8233749834767666,0.5698196568927824,0.5091407699752628
25,0.6654411764705882,0.6750902527075813,0.42700729927007297,0.5734767025089605,0.267578125,0.2724609375,0.0458984375,0.7178931076726045,0.7109220540635115,0.6154401006009073,0.48125182679452005
35,0.7432432432432432,0.7310344827586207,0.47651006711409394,0.5136986301369864,0.1455078125,0.142578125,0.0537109375,0.7451630262077686,0.7428982941675909,0.5705215795817604,0.4938492253345485
49,0.6751824817518248,0.6813186813186813,0.4259927797833935,0.5688405797101449,0.2705078125,0.26953125,0.07421875,0.7249179882511387,0.7194174212241942,0.5952492737671062,0.4967977501211763
69,0.7217391304347827,0.7239819004524887,0.4870689655172414,0.515695067264574,0.2265625,0.2177734375,0.083984375,0.6761472528631037,0.6877437796906474,0.6084155940232041,0.5052810047879663
96,0.7379032258064516,0.7398373983739838,0.50199203187251,0.4939759036144578,0.2451171875,0.2431640625,0.0791015625,0.7223287815917921,0.7242103935427232,0.5936052025887176,0.4986374857974079
134,0.73,0.725,0.4975369458128079,0.5,0.1982421875,0.197265625,0.068359375,0.7081658956841617,0.7131555351693658,0.5906746605869878,0.529079594907825
188,0.7322834645669292,0.732824427480916,0.5,0.4981132075471698,0.25,0.2587890625,0.0791015625,0.6784308973208878,0.6767685365419852,0.5833166274551337,0.5377183395267877
264,0.6910828025477707,0.691131498470948,0.45741324921135645,0.5393939393939394,0.3095703125,0.322265625,0.08984375,0.6530161427357689,0.6539401619625942,0.6137788507364456,0.5218958480065129
369,0.7,0.7019230769230769,0.4940047961630695,0.5023696682464455,0.4072265625,0.412109375,0.0810546875,0.6543648515389499,0.654479358333905,0.6096151075984638,0.5259973775204536
517,0.6900584795321637,0.6869565217391305,0.4927536231884058,0.5114942528735632,0.3369140625,0.33984375,0.1376953125,0.6945349706427524,0.6987883010128773,0.6297251630871958,0.578139517951083
723,0.6972010178117048,0.6846153846153846,0.5,0.51010101010101,0.388671875,0.38671875,0.1630859375,0.7076390081385324,0.710288454066403,0.6593425969003976,0.6151595252399604
1012,0.6870588235294117,0.6932084309133489,0.4511627906976744,0.5450346420323325,0.419921875,0.4228515625,0.216796875,0.72045995561501,0.7263233613234856,0.6799900773387599,0.5995632098354878
1417,0.7374005305039788,0.7358490566037735,0.5235602094240838,0.47745358090185674,0.373046875,0.3681640625,0.2802734375,0.7250005632002884,0.72539999586249,0.6838450769352972,0.6005496788763207
1984,0.6498800959232613,0.6476190476190476,0.44630071599045346,0.5531914893617021,0.4091796875,0.4130859375,0.30859375,0.7312713834702673,0.7333802866829403,0.6710685079696496,0.5997747127716924
2778,0.7135549872122762,0.7139175257731959,0.49373433583959897,0.5012658227848101,0.3896484375,0.3857421875,0.384765625,0.7108624061205484,0.7165277574357429,0.6704425891463486,0.6174801425148091
3889,0.6556603773584906,0.6507177033492823,0.5023255813953489,0.4988179669030733,0.419921875,0.4130859375,0.4990234375,0.7310627230709497,0.732748338099453,0.6486403542780917,0.6253370582948106
5445,0.6221837088388215,0.6265060240963856,0.5265866209262435,0.4735945485519591,0.5693359375,0.5732421875,0.5830078125,0.6975521729914737,0.6976966932297964,0.6882703616286782,0.6238203613275378
7623,0.8041379310344827,0.8117977528089888,0.7752043596730245,0.2260748959778086,0.716796875,0.7041015625,0.7138671875,0.6838310181857714,0.6770712594510164,0.6975765602029418,0.5769740295832215
10672,0.8542336548767417,0.8668831168831169,0.7966101694915254,0.19786096256684493,0.921875,0.9130859375,0.919921875,0.7350803590600581,0.7310891668453801,0.7495210850247247,0.5603993823800538
14941,0.8944672131147541,0.8948453608247423,0.7898989898989899,0.19410569105691056,0.966796875,0.9609375,0.95703125,0.6907445843444764,0.697459682448359,0.7187313240889938,0.5768402062637288
20917,0.9295774647887324,0.934409687184662,0.8303571428571429,0.16616915422885573,0.984375,0.9814453125,0.9814453125,0.716764313383103,0.7209978692998414,0.7218253788136683,0.5624395752581826
29284,0.9571286141575274,0.9521435692921236,0.8220255653883972,0.176007866273353,0.9931640625,0.9931640625,0.9931640625,0.7350288656246651,0.7354071637815413,0.7392037868128211,0.5758235738715181
30000,0.9561752988047809,0.9541375872382851,0.8231827111984283,0.17797443461160276,0.994140625,0.9931640625,0.9931640625,0.735142734661876,0.735637460568563,0.7394322712177261,0.575888410371121
