step,chose_optimal_rho1,chose_optimal_rho0,followed_f0_rho1,followed_f0_rho0,reached_rho1,reached_rho0,legal_rho0,auc_rho1,auc_rho0_own,auc_rho0_optimal,auc_rho0_colour0
0,nan,nan,nan,nan,0.0,0.0,1.0,1.0,1.0,0.5706775667793841,0.5137834097515142
25,0.7030716723549488,0.6993243243243243,0.4983277591973244,0.5033112582781457,0.2919921875,0.294921875,0.033203125,0.6435564418924156,0.6390793799154314,0.5497123200493234,0.5484165907190733
35,0.7132616487455197,0.7117437722419929,0.4858156028368794,0.5053003533568905,0.275390625,0.2763671875,0.052734375,0.6664734336958726,0.6542451196651887,0.5972254924766811,0.5032234916755686
49,0.7580645161290323,0.7619047619047619,0.5,0.5,0.12109375,0.123046875,0.072265625,0.7732343632333576,0.77651798416355,0.5475329121560796,0.5388735011134623
69,0.7133757961783439,0.6948051948051948,0.4430379746835443,0.567741935483871,0.154296875,0.1513671875,0.0732421875,0.706106882318944,0.7001367863435891,0.607276875660355,0.5001402285382036
96,0.7731958762886598,0.7586206896551724,0.4845360824742268,0.5431034482758621,0.0947265625,0.11328125,0.078125,0.7386233022246238,0.7245998587177862,0.5721377944962642,0.5316321072437533
134,0.689873417721519,0.6962025316455697,0.4591194968553459,0.525,0.1552734375,0.15625,0.07421875,0.6850445674155599,0.6929994346562096,0.5956974956312553,0.5375688626370783
188,0.7233009708737864,0.6948356807511737,0.48792270531400966,0.5327102803738317,0.2021484375,0.208984375,0.076171875,0.7160192878510532,0.6982439094950039,0.5578034417891554,0.525083751502612
264,0.6896551724137931,0.7017543859649122,0.4897260273972603,0.5017421602787456,0.28515625,0.2802734375,0.0849609375,0.6773438745615433,0.6668055298409558,0.5662724552219424,0.5060403500020654
369,0.7220447284345048,0.6984615384615385,0.5,0.49393939393939396,0.310546875,0.322265625,0.0751953125,0.6582475884727645,0.6453344476993639,0.6088300495250487,0.5045047641755334
517,0.7336683417085427,0.726063829787234,0.5522388059701493,0.4842105263157895,0.392578125,0.37109375,0.0849609375,0.6207526442532344,0.5904645669909651,0.5567608610272665,0.5645668268232782
723,0.7384615384615385,0.6631578947368421,0.5431472081218274,0.6005154639175257,0.384765625,0.37890625,0.1142578125,0.6631814975108996,0.6158675381080209,0.554110497091286,0.5757811229577157
1012,0.8610354223433242,0.5988200589970502,0.6890080428954424,0.6811594202898551,0.3642578125,0.3369140625,0.154296875,0.6661690273558539,0.5908868001299638,0.5420139046491513,0.5703936477485264
1417,0.8875739644970414,0.6058558558558559,0.7093023255813954,0.6488888888888888,0.3359375,0.439453125,0.2138671875,0.7684023866085423,0.6931667794522751,0.6341672718607448,0.629758456588042
1984,0.9248366013071896,0.5892255892255892,0.7993527508090615,0.6501650165016502,0.3017578125,0.2958984375,0.212890625,0.7933698696700319,0.7422396859525442,0.6263682665854698,0.6614190278394334
2778,0.942643391521197,0.6196078431372549,0.8222222222222222,0.6704980842911877,0.3955078125,0.2548828125,0.3076171875,0.7932392247298907,0.7725885101021606,0.6323938089276213,0.6744379616659425
3889,0.9183673469387755,0.6151202749140894,0.8076923076923077,0.6496598639455783,0.482421875,0.287109375,0.4287109375,0.7896769556452745,0.7755788832520416,0.6402250833402678,0.6902027081787584
5445,0.8489388264669163,0.47268408551068886,0.7721674876847291,0.7242990654205608,0.79296875,0.41796875,0.6533203125,0.7604805548302885,0.7547218654159297,0.6480681779497538,0.7207114511715799
7623,0.8573099415204678,0.444234404536862,0.784971098265896,0.7397769516728625,0.8447265625,0.525390625,0.70703125,0.7770826575163328,0.7556668386388943,0.6798034364306662,0.7450852364676029
10672,0.8638344226579521,0.43538461538461537,0.7761033369214209,0.7556904400606981,0.9072265625,0.6435546875,0.787109375,0.7997936062421527,0.7740940124371046,0.6785427730370909,0.7724874157060145
14941,0.8965153115100317,0.3991769547325103,0.778125,0.7773279352226721,0.9375,0.7236328125,0.841796875,0.8109660796420697,0.7696543583056741,0.6841685563221347,0.7600880560710231
20917,0.9164118246687054,0.4221598877980365,0.7909547738693468,0.7261410788381742,0.9716796875,0.7060546875,0.8798828125,0.8228732463080232,0.7675471661467571,0.6858474970811994,0.753945712764895
29284,0.9413549039433772,0.4273743016759777,0.7996011964107677,0.7148760330578512,0.9794921875,0.708984375,0.892578125,0.8177398800737001,0.765720218770888,0.685231073816026,0.7499039870787131
30000,0.9405241935483871,0.4301675977653631,0.7982107355864811,0.7148760330578512,0.982421875,0.708984375,0.8916015625,0.8191876788554883,0.7673599347062944,0.6872431471226804,0.7494760138938344
